Unnamed: 0,time,position,velocity
1473,1.472,0.25,-0.25
1479,1.478,0.249,-0.167
1484,1.483,0.248,-0.2
1489,1.488,0.247,-0.2
1493,1.492,0.246,-0.25
1499,1.498,0.245,-0.167
1503,1.502,0.244,-0.25
1509,1.508,0.243,-0.167
1513,1.512,0.242,-0.25
1519,1.518,0.241,-0.167
1524,1.523,0.24,-0.2
1529,1.528,0.239,-0.2
1534,1.533,0.238,-0.2
1539,1.538,0.237,-0.2
1543,1.542,0.236,-0.25
1549,1.548,0.235,-0.167
1553,1.552,0.234,-0.25
1559,1.558,0.233,-0.167
1563,1.562,0.232,-0.25
1568,1.567,0.231,-0.2
1573,1.572,0.23,-0.2
1578,1.577,0.229,-0.2
1583,1.582,0.228,-0.2
1589,1.588,0.227,-0.167
1593,1.592,0.226,-0.25
1599,1.598,0.225,-0.167
1603,1.602,0.224,-0.25
1609,1.608,0.223,-0.167
1613,1.612,0.222,-0.25
1618,1.617,0.221,-0.2
1623,1.622,0.22,-0.2
1629,1.628,0.219,-0.167
1634,1.633,0.218,-0.2
1639,1.638,0.217,-0.2
1643,1.642,0.216,-0.25
1649,1.648,0.215,-0.167
1653,1.652,0.214,-0.25
1659,1.658,0.213,-0.167
1663,1.662,0.212,-0.25
1669,1.668,0.211,-0.167
1674,1.673,0.21,-0.2
1679,1.678,0.209,-0.2
1684,1.683,0.208,-0.2
1689,1.688,0.207,-0.2
1693,1.692,0.206,-0.25
1699,1.698,0.205,-0.167
1703,1.702,0.204,-0.25
1709,1.708,0.203,-0.167
1713,1.712,0.202,-0.25
1718,1.717,0.201,-0.2
1723,1.722,0.2,-0.2
1728,1.727,0.199,-0.2
1733,1.732,0.198,-0.2
1739,1.738,0.197,-0.167
1743,1.742,0.196,-0.25
1749,1.748,0.195,-0.167
1753,1.752,0.194,-0.25
1759,1.758,0.193,-0.167
1763,1.762,0.192,-0.25
1768,1.767,0.191,-0.2
1773,1.772,0.19,-0.2
1779,1.778,0.189,-0.167
1783,1.782,0.188,-0.25
1789,1.788,0.187,-0.167
1793,1.792,0.186,-0.25
1799,1.798,0.185,-0.167
1803,1.802,0.184,-0.25
1809,1.808,0.183,-0.167
1813,1.812,0.182,-0.25
1819,1.818,0.181,-0.167
1823,1.822,0.18,-0.25
1829,1.828,0.179,-0.167
1834,1.833,0.178,-0.2
1839,1.838,0.177,-0.2
1843,1.842,0.176,-0.25
1849,1.848,0.175,-0.167
1853,1.852,0.174,-0.25
1859,1.858,0.173,-0.167
1863,1.862,0.172,-0.25
1869,1.868,0.171,-0.167
1873,1.872,0.17,-0.25
1878,1.877,0.169,-0.2
1883,1.882,0.168,-0.2
1889,1.888,0.167,-0.167
1893,1.892,0.166,-0.25
1899,1.898,0.165,-0.167
1903,1.902,0.164,-0.25
1909,1.908,0.163,-0.167
1913,1.912,0.162,-0.25
1918,1.917,0.161,-0.2
1923,1.922,0.16,-0.2
1929,1.928,0.159,-0.167
1933,1.932,0.158,-0.25
1939,1.938,0.157,-0.167
1943,1.942,0.156,-0.25
1949,1.948,0.155,-0.167
1953,1.952,0.154,-0.25
1959,1.958,0.153,-0.167
1963,1.962,0.152,-0.25
1969,1.968,0.151,-0.167
1973,1.972,0.15,-0.25
1979,1.978,0.149,-0.167
1983,1.982,0.148,-0.25
1989,1.988,0.147,-0.167
1993,1.992,0.146,-0.25
1999,1.998,0.145,-0.167
2003,2.002,0.144,-0.25
2009,2.008,0.143,-0.167
2013,2.012,0.142,-0.25
2019,2.018,0.141,-0.167
2023,2.022,0.14,-0.25
2028,2.027,0.139,-0.2
2033,2.032,0.138,-0.2
2039,2.038,0.137,-0.167
2043,2.042,0.136,-0.25
2049,2.048,0.135,-0.167
2053,2.052,0.134,-0.25
2059,2.058,0.133,-0.167
2063,2.062,0.132,-0.25
2069,2.068,0.131,-0.167
2073,2.072,0.13,-0.25
2079,2.078,0.129,-0.167
2083,2.082,0.128,-0.25
2089,2.088,0.127,-0.167
2093,2.092,0.126,-0.25
2099,2.098,0.125,-0.167
2103,2.102,0.124,-0.25
2109,2.108,0.123,-0.167
2113,2.112,0.122,-0.25
2119,2.118,0.121,-0.167
2124,2.123,0.12,-0.2
2129,2.128,0.119,-0.2
2133,2.132,0.118,-0.25
2139,2.138,0.117,-0.167
2143,2.142,0.116,-0.25
2149,2.148,0.115,-0.167
2153,2.152,0.114,-0.25
2158,2.157,0.113,-0.2
2163,2.162,0.112,-0.2
2169,2.168,0.111,-0.167
2173,2.172,0.11,-0.25
2178,2.177,0.109,-0.2
2183,2.182,0.108,-0.2
2189,2.188,0.107,-0.167
2193,2.192,0.106,-0.25
2199,2.198,0.105,-0.167
2203,2.202,0.104,-0.25
2209,2.208,0.103,-0.167
2213,2.212,0.102,-0.25
2219,2.218,0.101,-0.167
2223,2.222,0.1,-0.25
2228,2.227,0.099,-0.2
2233,2.232,0.098,-0.2
2239,2.238,0.097,-0.167
2243,2.242,0.096,-0.25
2249,2.248,0.095,-0.167
2253,2.252,0.094,-0.25
2259,2.258,0.093,-0.167
2264,2.263,0.092,-0.2
2269,2.268,0.091,-0.2
2274,2.273,0.09,-0.2
2280,2.279,0.089,-0.167
2284,2.283,0.088,-0.25
2290,2.289,0.087,-0.167
2296,2.295,0.086,-0.167
2301,2.3,0.085,-0.2
2305,2.304,0.084,-0.25
2312,2.311,0.083,-0.143
2317,2.316,0.082,-0.2
2322,2.321,0.081,-0.2
2327,2.326,0.08,-0.2
2332,2.331,0.079,-0.2
2337,2.336,0.078,-0.2
2343,2.342,0.077,-0.167
2348,2.347,0.076,-0.2
2354,2.353,0.075,-0.167
2358,2.357,0.074,-0.25
2364,2.363,0.073,-0.167
2369,2.368,0.072,-0.2
2375,2.374,0.071,-0.167
2380,2.379,0.07,-0.2
2386,2.385,0.069,-0.167
2391,2.39,0.068,-0.2
2397,2.396,0.067,-0.167
2402,2.401,0.066,-0.2
2409,2.408,0.065,-0.143
2415,2.414,0.064,-0.167
2421,2.42,0.063,-0.167
2427,2.426,0.062,-0.167
2433,2.432,0.061,-0.167
2438,2.437,0.06,-0.2
2444,2.443,0.059,-0.167
2450,2.449,0.058,-0.167
2455,2.454,0.057,-0.2
2460,2.459,0.056,-0.2
2467,2.466,0.055,-0.143
2472,2.471,0.054,-0.2
2478,2.477,0.053,-0.167
2484,2.483,0.052,-0.167
2491,2.49,0.051,-0.143
2496,2.495,0.05,-0.2
2502,2.501,0.049,-0.167
2507,2.506,0.048,-0.2
2513,2.512,0.047,-0.167
2520,2.519,0.046,-0.143
2526,2.525,0.045,-0.167
2532,2.531,0.044,-0.167
2538,2.537,0.043,-0.167
2543,2.542,0.042,-0.2
2549,2.548,0.041,-0.167
2555,2.554,0.04,-0.167
2561,2.56,0.039,-0.167
2568,2.567,0.038,-0.143
2574,2.573,0.037,-0.167
2580,2.579,0.036,-0.167
2586,2.585,0.035,-0.167
2592,2.591,0.034,-0.167
2600,2.599,0.033,-0.125
2605,2.604,0.032,-0.2
2613,2.612,0.031,-0.125
2618,2.617,0.03,-0.2
2626,2.625,0.029,-0.125
2633,2.632,0.028,-0.143
2639,2.638,0.027,-0.167
2646,2.645,0.026,-0.143
2654,2.653,0.025,-0.125
2659,2.658,0.024,-0.2
2666,2.665,0.023,-0.143
2673,2.672,0.022,-0.143
2679,2.678,0.021,-0.167
2686,2.685,0.02,-0.143
2696,2.695,0.019,-0.1
2705,2.704,0.018,-0.111
2711,2.71,0.017,-0.167
2717,2.716,0.016,-0.167
2723,2.722,0.015,-0.167
2729,2.728,0.014,-0.167
2739,2.738,0.013,-0.1
2747,2.746,0.012,-0.125
2754,2.753,0.011,-0.143
2761,2.76,0.01,-0.143
2769,2.768,0.009,-0.125
2776,2.775,0.008,-0.143
2785,2.784,0.007,-0.111
2792,2.791,0.006,-0.143
2799,2.798,0.005,-0.143
2809,2.808,0.004,-0.1
2817,2.816,0.003,-0.125
2826,2.825,0.002,-0.111
2835,2.834,0.001,-0.111
2841,2.84,0.0,-0.167
2850,2.849,-0.001,-0.111
2857,2.856,-0.002,-0.143
2864,2.863,-0.003,-0.143
2873,2.872,-0.004,-0.111
2881,2.88,-0.005,-0.125
2890,2.889,-0.006,-0.111
2898,2.897,-0.007,-0.125
2908,2.907,-0.008,-0.1
2919,2.918,-0.009,-0.091
2926,2.925,-0.01,-0.143
2936,2.935,-0.011,-0.1
2944,2.943,-0.012,-0.125
2954,2.953,-0.013,-0.1
2962,2.961,-0.014,-0.125
2973,2.972,-0.015,-0.091
2981,2.98,-0.016,-0.125
2992,2.991,-0.017,-0.091
3001,3.0,-0.018,-0.111
