time,position,velocity
1.388,0.189,-0.25
1.391,0.188,-0.333
1.396,0.187,-0.2
1.399,0.186,-0.333
1.402,0.185,-0.333
1.406,0.184,-0.25
1.411,0.183,-0.2
1.414,0.182,-0.333
1.419,0.181,-0.2
1.422,0.18,-0.333
1.426,0.179,-0.25
1.43,0.178,-0.25
1.434,0.177,-0.25
1.437,0.176,-0.333
1.443,0.175,-0.167
1.446,0.174,-0.333
1.45,0.173,-0.25
1.454,0.172,-0.25
1.458,0.171,-0.25
1.462,0.17,-0.25
1.466,0.169,-0.25
1.471,0.168,-0.2
1.475,0.167,-0.25
1.479,0.166,-0.25
1.483,0.165,-0.25
1.487,0.164,-0.25
1.491,0.163,-0.25
1.494,0.162,-0.333
1.498,0.161,-0.25
1.502,0.16,-0.25
1.506,0.159,-0.25
1.509,0.158,-0.333
1.514,0.157,-0.2
1.518,0.156,-0.25
1.522,0.155,-0.25
1.526,0.154,-0.25
1.531,0.153,-0.2
1.534,0.152,-0.333
1.538,0.151,-0.25
1.542,0.15,-0.25
1.546,0.149,-0.25
1.55,0.148,-0.25
1.554,0.147,-0.25
1.557,0.146,-0.333
1.561,0.145,-0.25
1.565,0.144,-0.25
1.569,0.143,-0.25
1.574,0.142,-0.2
1.578,0.141,-0.25
1.582,0.14,-0.25
1.586,0.139,-0.25
1.591,0.138,-0.2
1.596,0.137,-0.2
1.6,0.136,-0.25
1.605,0.135,-0.2
1.609,0.134,-0.25
1.614,0.133,-0.2
1.618,0.132,-0.25
1.623,0.131,-0.2
1.627,0.13,-0.25
1.633,0.129,-0.167
1.636,0.128,-0.333
1.641,0.127,-0.2
1.645,0.126,-0.25
1.65,0.125,-0.2
1.654,0.124,-0.25
1.659,0.123,-0.2
1.663,0.122,-0.25
1.668,0.121,-0.2
1.672,0.12,-0.25
1.677,0.119,-0.2
1.68,0.118,-0.333
1.685,0.117,-0.2
1.689,0.116,-0.25
1.694,0.115,-0.2
1.699,0.114,-0.2
1.704,0.113,-0.2
1.708,0.112,-0.25
1.713,0.111,-0.2
1.717,0.11,-0.25
1.722,0.109,-0.2
1.727,0.108,-0.2
1.732,0.107,-0.2
1.736,0.106,-0.25
1.742,0.105,-0.167
1.746,0.104,-0.25
1.751,0.103,-0.2
1.756,0.102,-0.2
1.761,0.101,-0.2
1.765,0.1,-0.25
1.77,0.099,-0.2
1.775,0.098,-0.2
1.78,0.097,-0.2
1.785,0.096,-0.2
1.79,0.095,-0.2
1.795,0.094,-0.2
1.8,0.093,-0.2
1.805,0.092,-0.2
1.81,0.091,-0.2
1.815,0.09,-0.2
1.82,0.089,-0.2
1.825,0.088,-0.2
1.83,0.087,-0.2
1.835,0.086,-0.2
1.84,0.085,-0.2
1.845,0.084,-0.2
1.85,0.083,-0.2
1.855,0.082,-0.2
1.86,0.081,-0.2
1.865,0.08,-0.2
1.87,0.079,-0.2
1.875,0.078,-0.2
1.88,0.077,-0.2
1.885,0.076,-0.2
1.89,0.075,-0.2
1.895,0.074,-0.2
1.9,0.073,-0.2
1.905,0.072,-0.2
1.91,0.071,-0.2
1.915,0.07,-0.2
1.92,0.069,-0.2
1.925,0.068,-0.2
1.93,0.067,-0.2
1.935,0.066,-0.2
1.94,0.065,-0.2
1.945,0.064,-0.2
1.95,0.063,-0.2
1.955,0.062,-0.2
1.96,0.061,-0.2
1.965,0.06,-0.2
1.97,0.059,-0.2
1.975,0.058,-0.2
1.98,0.057,-0.2
1.985,0.056,-0.2
1.99,0.055,-0.2
1.995,0.054,-0.2
2.0,0.053,-0.2
2.005,0.052,-0.2
2.01,0.051,-0.2
2.015,0.05,-0.2
2.02,0.049,-0.2
2.025,0.048,-0.2
2.03,0.047,-0.2
2.035,0.046,-0.2
2.04,0.045,-0.2
2.045,0.044,-0.2
2.05,0.043,-0.2
2.055,0.042,-0.2
2.06,0.041,-0.2
2.065,0.04,-0.2
2.07,0.039,-0.2
2.075,0.038,-0.2
2.08,0.037,-0.2
2.085,0.036,-0.2
2.09,0.035,-0.2
2.095,0.034,-0.2
2.1,0.033,-0.2
2.105,0.032,-0.2
2.11,0.031,-0.2
2.115,0.03,-0.2
2.12,0.029,-0.2
2.125,0.028,-0.2
2.13,0.027,-0.2
2.135,0.026,-0.2
2.14,0.025,-0.2
2.145,0.024,-0.2
2.15,0.023,-0.2
2.155,0.022,-0.2
2.16,0.021,-0.2
2.165,0.02,-0.2
2.17,0.019,-0.2
2.175,0.018,-0.2
2.18,0.017,-0.2
2.185,0.016,-0.2
2.19,0.015,-0.2
2.195,0.014,-0.2
2.2,0.013,-0.2
2.205,0.012,-0.2
2.21,0.011,-0.2
